home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Czechoslovakia,Denmark,TCH,DEN,5.0,1.0,,,5.0,1.0,Czechoslovakia,WIN_REGULAR,1960,1959-10-18,,,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,31217.0,62402,CZE,7793.0,49.06555,17.4714472,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 35, 'second': 1}, 'international_name': 'John Kramer', 'club_shirt_name': 'Kramer', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 38, 'second': 2}, 'international_name': 'Titus Buberník', 'club_shirt_name': 'Buberník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 49, 'second': 3}, 'international_name': 'Adolf Scherer', 'club_shirt_name': 'Scherer', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 56, 'second': 4}, 'international_name': 'Titus Buberník', 'club_shirt_name': 'Buberník', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 63, 'second': 5}, 'international_name': 'Milan Dolinský', 'club_shirt_name': 'Dolinský', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 6}, 'international_name': 'Adolf Scherer', 'club_shirt_name': 'Scherer', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Brno,Městský fotbalový stadion Srbská,Mestský,Městský fotbalový stadion Srbská,Městský fotbalový stadion Srbská,Na Srbské
Spain,Poland,ESP,POL,3.0,0.0,,,3.0,0.0,Spain,WIN_REGULAR,1960,1959-10-14,,,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,62070.0,62401,ESP,76806.0,40.4530778,-3.6885194,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 30, 'second': 1}, 'international_name': 'Alfredo Di Stéfano', 'club_shirt_name': 'Di Stéfano', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 69, 'second': 2}, 'international_name': 'Enrique Gensana', 'club_shirt_name': 'Gensana', 'country_code': 'ESP', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 85, 'second': 3}, 'international_name': 'Francisco Gento', 'club_shirt_name': 'Gento', 'country_code': 'ESP', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,N/A
Denmark,Czechoslovakia,DEN,TCH,2.0,2.0,,,2.0,2.0,,DRAW,1960,1959-09-23,,,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,32000.0,63462,DEN,38052.0,55.7027611,12.572275,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 18, 'second': 1}, 'international_name': 'Poul Pedersen', 'club_shirt_name': 'Pedersen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 20, 'second': 2}, 'international_name': 'Bent Hansen', 'club_shirt_name': 'Hansen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 30, 'second': 3}, 'international_name': 'Ladislav Kačáni', 'club_shirt_name': 'Kačáni', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 43, 'second': 4}, 'international_name': 'Milan Dolinský', 'club_shirt_name': 'Dolinský', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Copenhagen,Parken,Parken,Parken,Parken Stadium,Parken
Poland,Spain,POL,ESP,2.0,4.0,,,2.0,4.0,Spain,WIN_REGULAR,1960,1959-06-28,,,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,71469.0,62400,POL,54374.0,50.2882333,18.9729139,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 34, 'second': 1}, 'international_name': 'Ernest Pohl', 'club_shirt_name': 'Pohl', 'country_code': 'POL', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 40, 'second': 2}, 'international_name': 'Luis Suárez', 'club_shirt_name': 'Suárez', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 41, 'second': 3}, 'international_name': 'Alfredo Di Stéfano', 'club_shirt_name': 'Di Stéfano', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 52, 'second': 4}, 'international_name': 'Luis Suárez', 'club_shirt_name': 'Suárez', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 56, 'second': 5}, 'international_name': 'Alfredo Di Stéfano', 'club_shirt_name': 'Di Stéfano', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 6}, 'international_name': 'Lucjan Brychczy', 'club_shirt_name': '', 'country_code': 'POL', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Chorzow,Silesian Stadium,Silesian Stadium,Silesian Stadium,Silesian Stadium,Silesian Stadium
Portugal,German Dem. Rep.,POR,GDR,3.0,2.0,,,3.0,2.0,Portugal,WIN_REGULAR,1960,1959-06-28,,,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,19124.0,57671,POR,47327.0,41.1650639,-8.5873111,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 45, 'second': 1}, 'international_name': 'Coluna', 'club_shirt_name': 'Coluna', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 47, 'second': 2}, 'international_name': 'Gerhard Vogt', 'club_shirt_name': 'Vogt', 'country_code': 'GDR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 3}, 'international_name': 'Coluna', 'club_shirt_name': 'Coluna', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 68, 'second': 4}, 'international_name': 'Cavém', 'club_shirt_name': 'Cavém', 'country_code': 'POR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 72, 'second': 5}, 'international_name': 'Horst Kohle', 'club_shirt_name': 'Kohle', 'country_code': 'GDR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Porto,As Antas,As Antas,As Antas,As Antas,As Antas
German Dem. Rep.,Portugal,GDR,POR,0.0,2.0,,,0.0,2.0,Portugal,WIN_REGULAR,1960,1959-06-21,,,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,23418.0,62399,GER,0.0,52.5437306,13.4052528,,,"[{'phase': 'FIRST_HALF', 'time': {'minute': 12, 'second': 1}, 'international_name': 'Matateu', 'club_shirt_name': 'Matateu', 'country_code': 'POR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 67, 'second': 2}, 'international_name': 'Coluna', 'club_shirt_name': 'Coluna', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Berlin,Walter-Ulbricht,Walter-Ulbricht,Walter-Ulbricht,Walter-Ulbricht,Walter-Ulbricht
Yugoslavia,Bulgaria,YUG,BUL,2.0,0.0,,,2.0,0.0,Yugoslavia,WIN_REGULAR,1960,1959-05-31,,,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,25000.0,62398,SRB,29662.0,44.7888528,20.4591,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 1, 'second': 1}, 'international_name': 'Milan Galić', 'club_shirt_name': 'Galić', 'country_code': 'SRB', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 2}, 'international_name': 'Lazar Tasić', 'club_shirt_name': 'Tasić', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Belgrade,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan,Stadion FK Partizan
Türki̇ye,Romania,TUR,ROU,2.0,0.0,,,2.0,0.0,Türki̇ye,WIN_REGULAR,1960,1959-04-26,,,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,23567.0,57789,TUR,32086.0,41.0392194,28.9946917,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 13, 'second': 1}, 'international_name': 'Lefter Küçükandonyadis', 'club_shirt_name': 'Lefter Küçükandonyadis', 'country_code': 'TUR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 54, 'second': 2}, 'international_name': 'Lefter Küçükandonyadis', 'club_shirt_name': 'Lefter Küçükandonyadis', 'country_code': 'TUR', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Istanbul,Fİ-YAPI Inönü Stadyumu,BJK İnönü Stadyumu,Fİ-YAPI Inönü Stadyumu,Fİ-YAPI Inönü Stadyumu,Fİ-YAPI Inönü Stadyumu
Greece,France,GRE,FRA,1.0,1.0,,,1.0,1.0,,DRAW,1960,1958-12-03,,,,2,,,,,,FINISHED,SECOND_LEG,ROUND_OF_16,KNOCK_OUT,18833.0,64987,GRE,68224.0,38.0361361,23.7875639,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 71, 'second': 1}, 'international_name': 'Stéphane Bruey', 'club_shirt_name': 'Bruey', 'country_code': 'FRA', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 85, 'second': 2}, 'international_name': 'Roger Marche', 'club_shirt_name': 'Marche', 'country_code': 'FRA', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'OWN'}]",,,,[],Athens,Olympic Athletic Center of Athens,"OACA ""Spyros Louis""",Olympic Athletic Center of Athens,"Olympic Athletic Center of Athens ""Spyros Louis""","Olympic Athletic Center of Athens ""Spyros Louis"""
Romania,Türki̇ye,ROU,TUR,3.0,0.0,,,3.0,0.0,Romania,WIN_REGULAR,1960,1958-11-02,,,,1,,,,,,FINISHED,FIRST_LEG,ROUND_OF_16,KNOCK_OUT,67200.0,62396,ROU,0.0,44.437225,26.1524972,0.0,0.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 1}, 'international_name': 'Nicolae Oaidă', 'club_shirt_name': 'Oaidă', 'country_code': 'ROU', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 77, 'second': 2}, 'international_name': 'Gheorghe Constantin', 'club_shirt_name': 'Constantin', 'country_code': 'ROU', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 81, 'second': 3}, 'international_name': 'Constantin Dinulescu', 'club_shirt_name': 'Dinulescu', 'country_code': 'ROU', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Bucharest,23 August,23 August,23 August,23 August,23 August
